respondent_id,age_group,gender,education,heard_term_gender_sensitization,gender_is_binary_or_nonbinary,received_gender_training,support_school_curriculum,support_workplace_training,sensitization_helps_relationships,stereotype_men_rational_women_emotional,stereotype_women_bad_drivers,view_okay_for_men_to_cry,stereotype_men_strong_women_weak,stereotype_women_better_housekeepers,stereotype_gentle_men_less_masculine,childcare_only_mother_responsibility,woman_home_man_provider_role,chores_divided_equally_if_both_work,support_equal_pay,support_gender_diversity_quotas,discrimination_observed_nearby,support_gender_neutral_language,encourage_girls_nontraditional_careers,man_should_have_final_say_home,woman_should_not_tolerate_violence,sexist_jokes_okay,sensitization_reduces_gbv
R0001,18-25,Female,Bachelor's degree,Yes,Non-binary,No,Maybe,"Yes, definitely",Yes,Agree,Disagree,Agree,Agree,Agree,Disagree,No,Yes,"Yes, definitely",Yes,Yes,No,Maybe,Yes,No,Maybe,No,Yes
R0002,18-25,Male,Bachelor's degree,No,Non-binary,No,"No, not required","Yes, definitely",Yes,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Yes,Yes,"Yes, definitely",Yes,Yes,Yes,Yes,Yes,No,No,No,Maybe
R0003,18-25,Female,Bachelor's degree,Yes,Binary,Yes,"No, not required","Yes, definitely",Yes,Disagree,Neutral,Agree,Disagree,Agree,Disagree,No,Yes,"No, the woman should manage both",Yes,Yes,No,Yes,Maybe,No,No,No,Yes
R0004,18-25,Male,Master's degree,Yes,Binary,No,"Yes, definitely","Yes, definitely",Yes,Agree,Disagree,Agree,Disagree,Agree,Disagree,No,No,"No, the woman should manage both",Yes,Yes,No,Yes,Yes,No,No,No,Yes
R0005,26-35,Male,Master's degree,Yes,Non-binary,Yes,Maybe,Maybe,Yes,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,No,Yes,"Yes, definitely",Yes,Unsure,Unsure,Maybe,Yes,No,Yes,Maybe,Yes
R0006,18-25,Male,Master's degree,Yes,Binary,Yes,"Yes, definitely","Yes, definitely",Maybe,Disagree,Disagree,Agree,Disagree,Agree,Disagree,No,No,"Yes, definitely",Yes,Yes,Yes,Yes,Yes,No,No,No,Yes
R0007,26-35,Male,Master's degree,Yes,Binary,No,"Yes, definitely","Yes, definitely",No,Disagree,Disagree,Agree,Disagree,Agree,Agree,No,No,"Yes, definitely",Yes,Yes,Unsure,Yes,Yes,No,Yes,No,Yes
R0008,18-25,Male,Bachelor's degree,Yes,Unsure,No,Maybe,"Yes, definitely",Yes,Neutral,Neutral,Disagree,Neutral,Neutral,Agree,No,Yes,"Yes, definitely",Yes,Yes,Unsure,Yes,Yes,No,No,Maybe,Maybe
R0009,18-25,Female,Bachelor's degree,Yes,Unsure,No,"Yes, definitely",Maybe,Yes,Disagree,Disagree,Agree,Agree,Neutral,Agree,Yes,No,"Yes, definitely",Yes,Yes,Unsure,Yes,Yes,No,No,No,Yes
R0010,18-25,Female,Bachelor's degree,Yes,Non-binary,No,"Yes, definitely","Yes, definitely",Maybe,Agree,Disagree,Neutral,Neutral,Agree,Agree,No,No,"Yes, definitely",Yes,Yes,Yes,Maybe,Yes,No,Maybe,No,Yes
